_id,bid,comment_num,content,created_at,like_num,repost_num,tool,user_id,weibo_url
4954150891687359,NmII974Xt,0,【#日本海鲜滞销堆积成山##日本官员呼吁民众每人多吃5只扇贝#】当地时间昨天（5日）上午，日本东京电力公司启动福岛第一核电站核污染水的第二轮排海。自从福岛核污染水排放入海以来，日本水产品出口严重受阻，据日媒报道，部分水产加工企业的仓库内，扇贝等水产品即将堆到大约8米高的天花板。面对库存 ...全文,2023-10-07,0,0,iPhone客户端,3194947380,https://m.weibo.cn/detail/4954150891687359
4954149362336343,NmIFG9NMX,0,【#日本海鲜滞销堆积成山##日本官员呼吁民众每人多吃5只扇贝#】当地时间昨天（5日）上午，日本东京电力公司启动福岛第一核电站核污染水的第二轮排海。自从福岛核污染水排放入海以来，日本水产品出口严重受阻，据日媒报道，部分水产加工企业的仓库内，扇贝等水产品即将堆到大约8米高的天花板。面对库存 ...全文,2023-10-07,0,0,微博视频号,7365095516,https://m.weibo.cn/detail/4954149362336343
4954146682438544,NmIBmaenm,0,【#日本海鲜滞销堆积成山##日本官员呼吁民众每人多吃5只扇贝#】当地时间昨天（5日）上午，日本东京电力公司启动福岛第一核电站核污染水的第二轮排海。自从福岛核污染水排放入海以来，日本水产品出口严重受阻，据日媒报道，部分水产加工企业的仓库内，扇贝等水产品即将堆到大约8米高的天花板。面对库存 ...全文,2023-10-07,0,0,微博视频号,2013046764,https://m.weibo.cn/detail/4954146682438544
4954146022099143,NmIAi8O59,0,【#日本海鲜滞销堆积成山##日本官员呼吁民众每人多吃5只扇贝#】当地时间昨天（5日）上午，日本东京电力公司启动福岛第一核电站核污染水的第二轮排海。自从福岛核污染水排放入海以来，日本水产品出口严重受阻，据日媒报道，部分水产加工企业的仓库内，扇贝等水产品即将堆到大约8米高的天花板。面对库存 ...全文,2023-10-07,0,0,微博视频号,7745873312,https://m.weibo.cn/detail/4954146022099143
4954145803994463,NmIzWgL8P,0,【#日本海鲜滞销堆积成山#】当地时间昨天（5日）上午，日本东京电力公司启动福岛第一核电站核污染水的第二轮排海。自从福岛核污染水排放入海以来，日本水产品出口严重受阻，据日媒报道，部分水产加工企业的仓库内，扇贝等水产品即将堆到大约8米高的天花板。面对库存积压，日本农林水产大臣近日呼吁日本 ...全文,2023-10-07,0,0,微博视频号,3233131040,https://m.weibo.cn/detail/4954145803994463
4954144089310543,NmIxaD463,0,【#日本海鲜滞销堆积成山##日本官员呼吁民众每人多吃5只扇贝#】当地时间昨天（5日）上午，日本东京电力公司启动福岛第一核电站核污染水的第二轮排海。自从福岛核污染水排放入海以来，日本水产品出口严重受阻，据日媒报道，部分水产加工企业的仓库内，扇贝等水产品即将堆到大约8米高的天花板。面对库存 ...全文,2023-10-07,1,0,微博视频号,3912707918,https://m.weibo.cn/detail/4954144089310543
4954142583294815,NmIuKdP8b,0,#日本开始准备核污染水第二轮排海#      10月5日上午，日本启动了第二轮核处理水排海，计划用17天排7800吨，合每天排460吨，预计年内一共要排31200吨 ，这些量占大罐子里存的总量才2.3%，因为要兑大量的海水保证排放浓度达标，所以预计整个排放过程要排30年。韩国作为利益最相关方，按照约定已经派了三 ...全文,2023-10-07,0,0,Redmi K50 至尊版,7858329585,https://m.weibo.cn/detail/4954142583294815
4954142102260304,NmItY9u0w,0,【#日本海鲜滞销堆积成山##日本官员呼吁民众每人多吃5只扇贝#】当地时间昨天（5日）上午，日本东京电力公司启动福岛第一核电站核污染水的第二轮排海。自从福岛核污染水排放入海以来，日本水产品出口严重受阻，据日媒报道，部分水产加工企业的仓库内，扇贝等水产品即将堆到大约8米高的天花板。面对库存 ...全文,2023-10-07,0,0,微博视频号,5644934300,https://m.weibo.cn/detail/4954142102260304
4954140762704527,NmIrOblzp,16,【#日本海鲜滞销堆积成山##日本官员呼吁民众每人多吃5只扇贝#】当地时间昨天（5日）上午，日本东京电力公司启动福岛第一核电站核污染水的第二轮排海。自从福岛核污染水排放入海以来，日本水产品出口严重受阻，据日媒报道，部分水产加工企业的仓库内，扇贝等水产品即将堆到大约8米高的天花板。面对库存 ...全文,2023-10-07,16,9,微博视频号,7756065012,https://m.weibo.cn/detail/4954140762704527
4954138862944727,NmIoKcm3B,0,【#日本海鲜滞销堆积成山##日本官员呼吁民众每人多吃5只扇贝#】当地时间5日上午，日本东京电力公司启动福岛第一核电站核污染水的第二轮排海。自从福岛核污染水排放入海以来，日本水产品出口严重受阻。据日媒报道，部分水产加工企业的仓库内，扇贝等水产品即将堆到大约8米高的天花板。面对库存积压，日 ...全文,2023-10-07,1,0,iPhone客户端,1160746241,https://m.weibo.cn/detail/4954138862944727
4954138283870870,NmInOgeZo,0,#日本海鲜滞销堆积成山#【#日本官员呼吁民众每人多吃5只扇贝#】当地时间昨天（5日）上午，日本东京电力公司启动福岛第一核电站核污染水的第二轮排海。自从福岛核污染水排放入海以来，日本水产品出口严重受阻，据日媒报道，部分水产加工企业的仓库内，扇贝等水产品即将堆到大约8米高的天花板。面对库存 ...全文,2023-10-07,0,0,微博视频号,3031084391,https://m.weibo.cn/detail/4954138283870870
4954135993779606,NmIk7fRfo,0,【#日本海鲜滞销堆积成山##日本官员呼吁民众每人多吃5只扇贝#】当地时间昨天（5日）上午，日本东京电力公司启动福岛第一核电站核污染水的第二轮排海。自从福岛核污染水排放入海以来，日本水产品出口严重受阻，据日媒报道，部分水产加工企业的仓库内，扇贝等水产品即将堆到大约8米高的天花板。面对库存 ...全文,2023-10-07,0,0,微博视频号,1083185770,https://m.weibo.cn/detail/4954135993779606
4954135546563434,NmIjorxrQ,0,【#日本海鲜滞销堆积成山##日本官员呼吁民众每人多吃5只扇贝#】当地时间昨天（5日）上午，日本东京电力公司启动福岛第一核电站核污染水的第二轮排海。自从福岛核污染水排放入海以来，日本水产品出口严重受阻，据日媒报道，部分水产加工企业的仓库内，扇贝等水产品即将堆到大约8米高的天花板。面对库存 ...全文,2023-10-07,0,0,微博视频号,3697271680,https://m.weibo.cn/detail/4954135546563434
4954134966698929,NmIiss6Hf,9,【#国际原子能机构将再次访日测试#】10月6日，日本经济产业省宣布，国际原子能机构（IAEA）专家组将访问日本，对福岛核电站进行核污染水排放以来的首次检查。  5日，日本启动核污染水排放的第二阶段，将持续17天，预计将倾倒约7800吨水。#日本开始第二轮核污染水排海# 今日俄罗斯RT的微博视频 ,2023-10-07,27,3,微博视频号,6244553417,https://m.weibo.cn/detail/4954134966698929
