_id,bid,comment_num,content,created_at,like_num,repost_num,tool,user_id,weibo_url
4954575355511004,NmTKLn7Fa,0,#日本开始准备核污染水第二轮排海#据共同社报道，日本东京电力公司今天（3日）开始进行福岛第一核电站核污染水第二轮排海前准备工作，测定即将排入海洋的核污染水中的氚浓度，如果浓度符合其所谓的“标准”，将从本月5日正式开始第二轮核污染水排海。第二轮排海计划排放量约为7800吨，排放周期约17天。 ...全文,2023-10-08,1,0,,1698891950,https://m.weibo.cn/detail/4954575355511004
4954565017339467,NmTu5uNkv,0,#日本开始准备核污染水第二轮排海# 我们没有资格更没有权力替遇难的30万同胞选择原谅！南京大屠杀真实影像！国耻勿忘，吾辈自强！  #侵华日军南京大屠杀影像# 正义小黄鸭的微博视频 ,2023-10-08,0,0,军事 · 视频社区,3282659472,https://m.weibo.cn/detail/4954565017339467
4954309701668152,NmMQi6ZXG,0,为什么我们和小日子的渊源这么深？#日本开始准备核污染水第二轮排海##勿忘国耻##孙颖莎vs张本美和# 会火大叔的微博视频 ,2023-10-07,3,0,iPhone 13 Pro,2713866045,https://m.weibo.cn/detail/4954309701668152
4954222263011302,NmKzgcDno,1,【#全面暂停日本水产品进口# 日本八月对华水产品出口额急挫近66%，日媒料出口进一步下降】日本核污水排海后，内地宣布全面暂停自日本进口水产品。日本通报，日本8月对华水产品出口额按年减少65.7%。日媒预料9月的日本水产品出口将进一步下降。 日本共同社报道，日本农林水产省公布数据显示，8月对华的 ...全文,2023-10-07,5,2,iPhone XR,5507836092,https://m.weibo.cn/detail/4954222263011302
4954164990314964,NmJ4T1jW4,0,【日本第二轮预计排放约7800吨核污水】据日本共同社报道，东京电力公司近日启动了福岛第一核电站核污染水第二轮排海前准备工作。据报道，日方测定即将排入海洋的核污染水中的氚浓度，浓度符合其所谓的“标准”，于5日正式开始第二轮核污染水排海。第二轮排放的核污染水总量预计仍将在7800吨左右，与第 ...全文,2023-10-07,0,1,微博网页版,2573021000,https://m.weibo.cn/detail/4954164990314964
4954125638569071,NmI3pzXcP,0,#日本开始准备核污染水第二轮排海# 【日本火山喷发、连续地震！】据共同社今天消息，日本海上安保厅发布消息称，日本小笠原群岛的西之岛火山小规模喷发，因此呼吁附近航行船只注意。据称火山喷出的灰色烟柱高达1500米，岛屿周围的海水变成棕褐色和绿色。另据中国地震台网正式测定：10月05日14时22分在 ...全文,2023-10-07,2,0,微博网页版,1530141800,https://m.weibo.cn/detail/4954125638569071
4953990825774635,NmExYoefh,10,汪文斌 日本政府强推核污染水排海计划是严重的失信之举#日本开始准备核污染水第二轮排海# Rr-饶总九饶的微博视频 ,2023-10-06,94,10,汪文斌超话,7197194491,https://m.weibo.cn/detail/4953990825774635
4953968729392582,NmDYkDprg,0,焦点坊谈涉贪腐案首次公审！李在明拄拐出庭受审，支持者高喊其名字 #韩国法院决定不批捕李在明##日本开始准备核污染水第二轮排海# 椒哥微记录的微博视频 ,2023-10-06,4,0,焦点坊谈超话,7209866866,https://m.weibo.cn/detail/4953968729392582
4953884667940148,NmBMKxjAU,2,幂谈天下#日本开始准备核污染水第二轮排海# 韩国民众抗议日本重启核污水排放：如果韩美出面阻止，日本可能不会排放 （来源：凤凰卫视） 深海一万米的微博视频 ,2023-10-06,7,1,微博视频号,1854070075,https://m.weibo.cn/detail/4953884667940148
4953854339187825,NmAZPCyaJ,0,焦点坊谈尹锡悦支持者躲在上面挑衅游街民众，不敢下来正面对抗  #韩国法院决定不批捕李在明##日本开始准备核污染水第二轮排海# 椒哥微记录的微博视频 ,2023-10-06,0,0,焦点坊谈超话,7209866866,https://m.weibo.cn/detail/4953854339187825
